Date,Year,Month,Day,Weekday,Week_Number,Year_Week,Open,High,Low,Close,Volume,Adj Close,Return,Short_MA,Long_MA
2015-07-22,2015,7,22,Wednesday,29,2015-29,438.13,493.59,438.13,491.48,52300.0,472.91,-0.0002846987302940196,473.58428571428567,465.584
2015-07-23,2015,7,23,Thursday,29,2015-29,492.8,493.29,486.42,488.23,49900.0,469.78,-0.006612660679084614,473.8649999999999,465.7076
2015-07-24,2015,7,24,Friday,29,2015-29,489.0,491.94,480.34,488.74,45700.0,470.27,0.0010445823593425718,473.99499999999995,465.87100000000004
2015-07-27,2015,7,27,Monday,30,2015-30,487.8,492.29,482.83,485.88,55100.0,467.52,-0.005851798648547679,473.75428571428563,465.83580000000006
2015-07-28,2015,7,28,Tuesday,30,2015-30,487.26,488.88,483.3,486.75,39700.0,468.35,0.0017905147367587304,473.93428571428564,465.94640000000004
2015-07-29,2015,7,29,Wednesday,30,2015-30,486.36,491.75,486.36,489.62,26700.0,471.12,0.0058963134732044065,474.3049999999999,465.99440000000004
2015-07-30,2015,7,30,Thursday,30,2015-30,488.67,493.5,487.39,489.38,58200.0,470.89,-0.0004901688339163934,473.9049999999999,466.02
2015-07-31,2015,7,31,Friday,30,2015-30,490.85,492.25,484.72,486.13,40300.0,467.76,-0.006641101269730165,473.4578571428571,465.7989999999999
2015-08-03,2015,8,3,Monday,31,2015-31,487.57,489.36,483.84,488.23,60300.0,469.78,0.004319882845857714,472.8157142857143,465.7547999999999
2015-08-04,2015,8,4,Tuesday,31,2015-31,487.2,488.0,481.55,484.51,55000.0,466.2,-0.007619344833786679,471.98999999999995,465.7119999999999
2015-08-05,2015,8,5,Wednesday,31,2015-31,484.6,499.85,484.6,497.95,58800.0,479.13,0.027739348912984907,471.7121428571428,466.0449999999999
2015-08-06,2015,8,6,Thursday,31,2015-31,498.3,500.0,491.76,494.47,37200.0,475.78,-0.006988709683583227,471.50071428571425,466.25539999999995
2015-08-07,2015,8,7,Friday,31,2015-31,494.0,498.68,490.55,494.11,83500.0,475.44,-0.000728073636845461,471.2835714285714,466.5191999999999
2015-08-10,2015,8,10,Monday,32,2015-32,495.02,500.3,494.14,498.23,48900.0,479.4,0.008338283874458785,471.7378571428571,466.95939999999996
2015-08-11,2015,8,11,Tuesday,32,2015-32,494.59,497.46,494.0,496.98,36300.0,478.2,-0.0025088789820464363,472.1157142857142,467.305
2015-08-12,2015,8,12,Wednesday,32,2015-32,494.45,496.43,487.5,491.45,34600.0,472.88,-0.011127217319450988,472.3371428571428,467.5336
2015-08-13,2015,8,13,Thursday,32,2015-32,492.45,496.49,490.65,492.78,23600.0,474.16,0.002706250959569001,472.6149999999999,467.7436
2015-08-14,2015,8,14,Friday,32,2015-32,491.48,497.54,490.16,496.19,25100.0,477.44,0.006919985626727021,473.32357142857137,468.15619999999996
2015-08-17,2015,8,17,Monday,33,2015-33,494.0,498.0,491.27,497.0,49900.0,478.22,0.0016323751550686438,474.02857142857135,468.5122
2015-08-18,2015,8,18,Tuesday,33,2015-33,496.0,501.77,493.24,500.47,42100.0,481.56,0.006981903132730727,474.77428571428567,469.06520000000006
2015-08-19,2015,8,19,Wednesday,33,2015-33,497.81,500.87,492.25,496.7,28900.0,477.93,-0.007532874336629081,475.2771428571428,469.51540000000006
2015-08-20,2015,8,20,Thursday,33,2015-33,492.7,494.55,481.23,481.57,48100.0,463.37,-0.030461022090359835,474.96357142857136,469.6058000000001
2015-08-21,2015,8,21,Friday,33,2015-33,477.0,479.9,474.0,475.35,62300.0,457.39,-0.012916066380285418,474.07857142857137,469.4780000000001
2015-08-24,2015,8,24,Monday,34,2015-34,459.0,462.24,455.0,462.24,102000.0,444.77,-0.027579779058850673,472.5478571428571,469.12600000000015
2015-08-25,2015,8,25,Tuesday,34,2015-34,460.3,467.6,451.97,453.13,79300.0,436.01,-0.01970831306929155,469.4678571428571,468.60820000000007
2015-08-26,2015,8,26,Wednesday,34,2015-34,459.7,465.26,450.05,461.93,80000.0,444.47,0.019420422254546876,467.2314285714286,468.20720000000006
2015-08-27,2015,8,27,Thursday,34,2015-34,462.3,474.15,459.95,470.62,54600.0,452.83,0.018812409531626217,465.61642857142857,467.97000000000014
2015-08-28,2015,8,28,Friday,34,2015-34,469.31,472.9,467.02,471.66,45700.0,453.83,0.0022097958179665422,463.79,467.7046000000002
2015-08-31,2015,8,31,Monday,35,2015-35,471.03,472.85,468.51,469.79,56300.0,452.04,-0.003964692983414619,461.92142857142863,467.48540000000025
2015-09-01,2015,9,1,Tuesday,35,2015-35,465.93,471.5,457.02,459.54,67800.0,442.17,-0.02181827878915532,459.7278571428572,466.9996000000002
2015-09-02,2015,9,2,Wednesday,35,2015-35,466.39,468.73,460.64,466.45,66300.0,448.82,0.015036862816984353,457.91785714285714,466.61540000000025
2015-09-03,2015,9,3,Thursday,35,2015-35,466.77,476.45,462.38,465.45,95300.0,447.86,-0.0021438775026607626,455.805,466.3856000000003
2015-09-04,2015,9,4,Friday,35,2015-35,461.0,465.7,440.24,459.7,61900.0,442.33,-0.012353610280340654,453.24142857142857,466.12920000000025
2015-09-08,2015,9,8,Tuesday,36,2015-36,464.64,468.39,460.45,464.46,109000.0,446.91,0.010354506625145588,450.76642857142855,465.93280000000027
2015-09-09,2015,9,9,Wednesday,36,2015-36,467.95,472.95,464.41,465.01,68000.0,447.44,0.0011841506141796465,448.58857142857136,465.94120000000026
2015-09-10,2015,9,10,Thursday,36,2015-36,466.01,473.64,466.01,467.16,58200.0,449.51,0.004623576715026889,447.59857142857135,465.9106000000002
2015-09-11,2015,9,11,Friday,36,2015-36,463.51,474.06,462.01,469.94,50000.0,452.18,0.005950894613229618,447.2264285714285,465.6784000000002
2015-09-14,2015,9,14,Monday,37,2015-37,469.72,472.87,468.33,469.45,45600.0,451.71,-0.001042651245677706,447.7221428571428,465.3956000000002
2015-09-15,2015,9,15,Tuesday,37,2015-37,470.75,472.78,467.95,471.65,62200.0,453.83,0.004686254567584758,448.9949999999999,465.10320000000024
2015-09-16,2015,9,16,Wednesday,37,2015-37,472.5,478.32,469.2,477.09,72400.0,459.06,0.011533963869154285,450.0371428571428,464.86660000000023
2015-09-17,2015,9,17,Thursday,37,2015-37,477.15,484.13,474.54,474.55,38500.0,456.62,-0.005323925836386856,450.307857142857,464.6824000000002
2015-09-18,2015,9,18,Friday,37,2015-37,469.57,480.25,467.19,468.92,145400.0,451.2,-0.011863816372602587,450.1199999999999,464.3878000000002
